,0.007,0.008,0.009,0.01
0,0,0,0,0
1,0,11,0,0
2,0,0,0,47
3,66,0,0,6
4,0,0,96,118
5,0,37,0,0
6,0,0,0,0
7,0,0,113,126
8,0,9,113,99
9,0,74,0,1
10,1,18,1,19
11,0,56,0,31
12,0,1,1,0
13,1,1,54,0
14,0,0,0,145
15,0,0,1,1
16,0,0,0,0
17,32,0,49,0
18,0,0,0,0
19,0,1,78,0
20,0,0,154,0
21,0,0,35,0
22,0,0,0,1
23,0,0,0,0
24,1,0,0,58
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,9,0,0,28
30,0,0,0,0
31,1,0,30,0
32,0,0,0,49
33,6,0,0,13
34,0,39,0,1
35,0,84,1,23
36,0,1,90,0
37,63,0,37,0
38,0,28,0,53
39,0,0,0,0
40,0,1,0,0
41,0,0,116,10
42,0,0,0,1
43,0,0,0,0
44,8,0,0,0
45,0,0,0,0
46,0,90,0,0
47,1,1,1,0
48,0,54,0,110
49,0,0,38,0
