prob_transmission,,HCW related infections,Cumulative Patients,Max Colonized Goo
0.001,0,0,168,0
0.001,1,0,171,0
0.001,2,0,155,0
0.001,3,0,160,0
0.001,4,0,158,0
0.001,5,0,169,0
0.001,6,0,163,0
0.001,7,0,188,0
0.001,8,0,175,0
0.001,9,0,166,0
0.001,10,0,154,0
0.001,11,0,169,0
0.001,12,0,165,0
0.001,13,0,171,0
0.001,14,0,161,0
0.001,15,0,147,0
0.001,16,0,160,0
0.001,17,0,160,0
0.001,18,0,133,0
0.001,19,0,169,0
0.001,20,0,146,0
0.001,21,0,145,0
0.001,22,0,168,0
0.001,23,0,152,0
0.001,24,0,159,0
0.001,25,0,167,0
0.001,26,0,144,0
0.001,27,0,143,0
0.001,28,0,161,0
0.001,29,0,168,0
0.001,30,0,160,0
0.001,31,0,164,0
0.001,32,0,146,0
0.001,33,0,160,0
0.001,34,0,144,0
0.001,35,0,151,0
0.001,36,0,136,0
0.001,37,0,159,0
0.001,38,0,166,0
0.001,39,0,148,0
0.001,40,0,177,0
0.001,41,0,169,0
0.001,42,0,154,0
0.001,43,0,159,0
0.001,44,0,143,0
0.001,45,0,177,0
0.001,46,0,169,0
0.001,47,0,162,0
0.001,48,0,173,0
0.001,49,0,148,0
0.01,0,0,158,0
0.01,1,0,176,0
0.01,2,0,150,1
0.01,3,0,162,0
0.01,4,0,148,0
0.01,5,0,154,0
0.01,6,0,170,0
0.01,7,0,165,0
0.01,8,0,164,0
0.01,9,0,168,0
0.01,10,0,160,0
0.01,11,0,155,0
0.01,12,0,150,0
0.01,13,0,157,0
0.01,14,0,153,0
0.01,15,0,164,0
0.01,16,0,145,0
0.01,17,0,153,0
0.01,18,0,157,0
0.01,19,0,167,0
0.01,20,0,140,0
0.01,21,0,155,0
0.01,22,0,153,0
0.01,23,0,145,0
0.01,24,0,166,0
0.01,25,0,149,0
0.01,26,0,153,0
0.01,27,0,146,0
0.01,28,0,161,0
0.01,29,0,167,0
0.01,30,0,161,0
0.01,31,0,169,0
0.01,32,0,165,0
0.01,33,0,162,0
0.01,34,0,169,0
0.01,35,0,163,0
0.01,36,0,161,1
0.01,37,0,173,0
0.01,38,0,153,0
0.01,39,0,156,0
0.01,40,0,155,0
0.01,41,0,168,0
0.01,42,0,153,0
0.01,43,0,139,0
0.01,44,0,145,0
0.01,45,0,166,0
0.01,46,0,161,0
0.01,47,0,156,0
0.01,48,0,160,0
0.01,49,0,171,0
0.02,0,0,169,0
0.02,1,0,165,0
0.02,2,0,143,0
0.02,3,0,151,1
0.02,4,0,155,0
0.02,5,0,155,0
0.02,6,0,163,0
0.02,7,0,158,0
0.02,8,0,171,0
0.02,9,0,160,0
0.02,10,0,176,0
0.02,11,0,182,0
0.02,12,0,163,0
0.02,13,0,147,0
0.02,14,0,152,0
0.02,15,0,149,0
0.02,16,0,149,0
0.02,17,0,159,0
0.02,18,0,175,0
0.02,19,0,150,0
0.02,20,0,160,0
0.02,21,0,161,0
0.02,22,0,172,0
0.02,23,0,152,0
0.02,24,0,158,0
0.02,25,0,171,0
0.02,26,0,179,0
0.02,27,0,162,0
0.02,28,0,146,1
0.02,29,0,140,0
0.02,30,0,164,0
0.02,31,0,162,1
0.02,32,0,139,0
0.02,33,0,158,0
0.02,34,0,165,1
0.02,35,0,134,0
0.02,36,0,145,0
0.02,37,0,136,0
0.02,38,0,162,0
0.02,39,0,161,0
0.02,40,0,167,0
0.02,41,0,172,0
0.02,42,0,164,0
0.02,43,0,184,0
0.02,44,0,141,0
0.02,45,0,142,0
0.02,46,0,154,0
0.02,47,0,165,0
0.02,48,0,171,0
0.02,49,0,158,0
0.03,0,0,147,0
0.03,1,0,149,0
0.03,2,0,155,0
0.03,3,0,154,0
0.03,4,0,147,0
0.03,5,0,167,0
0.03,6,0,138,0
0.03,7,0,167,0
0.03,8,0,145,0
0.03,9,0,141,1
0.03,10,0,154,0
0.03,11,0,143,0
0.03,12,0,157,0
0.03,13,0,166,0
0.03,14,0,158,0
0.03,15,0,161,0
0.03,16,0,159,0
0.03,17,0,144,0
0.03,18,0,166,0
0.03,19,0,146,0
0.03,20,0,158,0
0.03,21,0,170,0
0.03,22,0,157,0
0.03,23,0,168,0
0.03,24,0,159,0
0.03,25,0,156,0
0.03,26,0,160,0
0.03,27,0,165,0
0.03,28,0,146,0
0.03,29,0,163,0
0.03,30,0,154,0
0.03,31,0,160,0
0.03,32,0,161,0
0.03,33,0,145,0
0.03,34,0,144,0
0.03,35,0,157,0
0.03,36,0,173,0
0.03,37,0,151,0
0.03,38,0,165,0
0.03,39,0,143,1
0.03,40,0,172,0
0.03,41,0,168,0
0.03,42,0,165,0
0.03,43,0,157,0
0.03,44,0,162,0
0.03,45,0,170,0
0.03,46,0,157,1
0.03,47,0,159,0
0.03,48,0,157,0
0.03,49,0,167,0
0.1,0,0,149,0
0.1,1,0,144,0
0.1,2,0,146,0
0.1,3,0,148,0
0.1,4,0,156,0
0.1,5,0,177,0
0.1,6,0,154,0
0.1,7,1,162,1
0.1,8,0,158,0
0.1,9,0,151,0
0.1,10,0,144,1
0.1,11,0,172,0
0.1,12,0,166,0
0.1,13,0,166,0
0.1,14,0,161,0
0.1,15,0,169,0
0.1,16,0,151,0
0.1,17,0,150,0
0.1,18,0,180,0
0.1,19,0,154,0
0.1,20,0,149,0
0.1,21,0,146,0
0.1,22,0,172,0
0.1,23,0,169,1
0.1,24,0,157,0
0.1,25,0,159,0
0.1,26,0,151,1
0.1,27,0,140,0
0.1,28,0,168,0
0.1,29,0,176,0
0.1,30,0,160,0
0.1,31,0,150,0
0.1,32,0,156,0
0.1,33,0,149,0
0.1,34,0,176,0
0.1,35,0,155,0
0.1,36,0,170,0
0.1,37,0,159,0
0.1,38,0,154,0
0.1,39,0,146,0
0.1,40,0,153,0
0.1,41,0,155,0
0.1,42,0,143,0
0.1,43,0,157,0
0.1,44,0,165,0
0.1,45,0,139,0
0.1,46,0,165,0
0.1,47,0,169,0
0.1,48,0,161,0
0.1,49,0,152,1
